b'id',b'key',b'value',b'type'
232317692,b'railway',b'level_crossing',b'regular'
232318424,b'railway',b'level_crossing',b'regular'
232318437,b'railway',b'level_crossing',b'regular'
232337790,b'highway',b'turning_circle',b'regular'
232353516,b'highway',b'turning_circle',b'regular'
235255523,b'railway',b'switch',b'regular'
235284505,b'railway',b'level_crossing',b'regular'
235287108,b'railway',b'level_crossing',b'regular'
235363603,b'railway',b'level_crossing',b'regular'
235438607,b'railway',b'level_crossing',b'regular'
235529311,b'railway',b'level_crossing',b'regular'
235529323,b'railway',b'level_crossing',b'regular'
235529331,b'railway',b'level_crossing',b'regular'
235529382,b'railway',b'level_crossing',b'regular'
235529467,b'railway',b'level_crossing',b'regular'
235570493,b'railway',b'level_crossing',b'regular'
235622046,b'railway',b'level_crossing',b'regular'
235633327,b'railway',b'level_crossing',b'regular'
235725648,b'railway',b'level_crossing',b'regular'
263553367,b'attribution',b'USGS 2001 County Boundary',b'regular'
263553367,b'source',b'county_import_v0.1',b'regular'
317007181,b'name',b'Kenosha',b'regular'
317007181,b'place',b'county',b'regular'
349362929,b'amenity',b'school',b'regular'
349362929,b'ele',b'190',b'regular'
349362929,b'county_id',b'059',b'gnis'
349362929,b'created',b'09/30/1999',b'gnis'
349362929,b'feature_id',b'1561094',b'gnis'
349362929,b'state_id',b'55',b'gnis'
349362929,b'name',b'Bain Elementary School',b'regular'
349364396,b'amenity',b'school',b'regular'
349364396,b'ele',b'229',b'regular'
349364396,b'county_id',b'059',b'gnis'
349364396,b'created',b'08/29/1980',b'gnis'
349364396,b'feature_id',b'1562449',b'gnis'
349364396,b'state_id',b'55',b'gnis'
349364396,b'name',b'Burr Oak School',b'regular'
349364721,b'amenity',b'school',b'regular'
349364721,b'ele',b'184',b'regular'
349364721,b'county_id',b'059',b'gnis'
349364721,b'created',b'09/30/1999',b'gnis'
349364721,b'feature_id',b'1562898',b'gnis'
349364721,b'state_id',b'55',b'gnis'
349364721,b'name',b'Reuther Central High School',b'regular'
349365560,b'amenity',b'school',b'regular'
349365560,b'ele',b'190',b'regular'
349365560,b'county_id',b'059',b'gnis'
349365560,b'created',b'09/30/1999',b'gnis'
349365560,b'feature_id',b'1563289',b'gnis'
349365560,b'state_id',b'55',b'gnis'
349365560,b'name',b'Columbus Elementary School',b'regular'
349367476,b'amenity',b'school',b'regular'
349367476,b'ele',b'188',b'regular'
349367476,b'county_id',b'059',b'gnis'
349367476,b'created',b'09/30/1999',b'gnis'
349367476,b'feature_id',b'1563896',b'gnis'
349367476,b'state_id',b'55',b'gnis'
349367476,b'name',b'Demming Instructional Center',b'regular'
349368025,b'amenity',b'school',b'regular'
349368025,b'ele',b'214',b'regular'
349368025,b'county_id',b'059',b'gnis'
349368025,b'created',b'08/29/1980',b'gnis'
349368025,b'feature_id',b'1564137',b'gnis'
349368025,b'state_id',b'55',b'gnis'
349368025,b'name',b'Dublin School',b'regular'
349370141,b'amenity',b'school',b'regular'
349370141,b'ele',b'189',b'regular'
349370141,b'county_id',b'059',b'gnis'
349370141,b'created',b'09/30/1999',b'gnis'
349370141,b'feature_id',b'1565328',b'gnis'
349370141,b'state_id',b'55',b'gnis'
349370141,b'name',b'Friedens Evangelical Lutheran School',b'regular'
349370836,b'amenity',b'school',b'regular'
349370836,b'ele',b'189',b'regular'
349370836,b'county_id',b'059',b'gnis'
349370836,b'created',b'09/30/1999',b'gnis'
349370836,b'feature_id',b'1565251',b'gnis'
349370836,b'state_id',b'55',b'gnis'
349370836,b'name',b'Frank Elementary School',b'regular'
349373045,b'amenity',b'school',b'regular'
349373045,b'ele',b'207',b'regular'
349373045,b'county_id',b'059',b'gnis'
349373045,b'created',b'08/29/1980',b'gnis'
349373045,b'feature_id',b'1566398',b'gnis'
349373045,b'state_id',b'55',b'gnis'
349373045,b'name',b'Highland School',b'regular'
349373572,b'amenity',b'school',b'regular'
349373572,b'ele',b'232',b'regular'
349373572,b'county_id',b'059',b'gnis'
349373572,b'created',b'08/29/1980',b'gnis'
349373572,b'feature_id',b'1566228',b'gnis'
349373572,b'state_id',b'55',b'gnis'
349373572,b'name',b'Hazel Dell School',b'regular'
349378019,b'amenity',b'school',b'regular'
349378019,b'ele',b'188',b'regular'
349378019,b'county_id',b'059',b'gnis'
349378019,b'created',b'08/29/1980',b'gnis'
349378019,b'feature_id',b'1568078',b'gnis'
349378019,b'state_id',b'55',b'gnis'
349378019,b'name',b'Lincoln Junior High School',b'regular'
349378055,b'amenity',b'school',b'regular'
349378055,b'ele',b'214',b'regular'
349378055,b'county_id',b'059',b'gnis'
349378055,b'created',b'08/29/1980',b'gnis'
349378055,b'feature_id',b'1568087',b'gnis'
349378055,b'state_id',b'55',b'gnis'
349378055,b'name',b'Lincoln School',b'regular'
349384070,b'amenity',b'school',b'regular'
349384070,b'ele',b'234',b'regular'
349384070,b'county_id',b'059',b'gnis'
349384070,b'created',b'08/29/1980',b'gnis'
